"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 10 17:58:54 CST 2023","Tue Oct 10 17:58:54 CST 2023","3","","test_allure_demo","TestAllureReport","","","test_yuanshen_search",""
"passed","Tue Oct 10 17:58:54 CST 2023","Tue Oct 10 17:58:54 CST 2023","2","","test_allure_demo","TestAllureReport","","","test_wangzhe_search",""
